,english,spanish
chapter01_start_story,,
,"Welcome to Hermit home designer, You can call me Yamasen-Chan!",Te doy la bienvenida a Hermit home designer. ¡Puedes llamarme Yamasen-Chan!
,"My bedroom is in need of a complete makeover, can you help me design it?","Mi habitación necesita un cambio de imagen, ¿puedes ayudarme a diseñarla?"
,"But first, can I tell you a bit of a secret?<br>I may not look like it, but I’m actually a hikikomori. Te he.","Pero primero, ¿puedo contarte algo así como un secreto?<br>Puede que no lo parezca, pero en realidad soy una hikikomori. Je je."
,A hikikomori is like a hermit who shuts themself off from the world to live in isolation.,Un hikikomori es como un ermitaño que se aleja de todo el mundo para vivir en aislamiento.
,There are a lot of negative misconceptions about hikikomori being dirty slobs and living in messy rooms but that’s just not true.,"Hay muchos conceptos equivocados sobre los hikikomori. Dicen que somos vagos, sucios, y que vivimos en habitaciones desordenadas, pero eso no es verdad."
,"Just because I’m a hikikomori doesn’t mean I can’t have a good looking room. In fact, I have even more reason to make my room look great, It’s my whole world after all!","El hecho de que sea una hikikomori no significa que no puedo tener una habitación bonita. De hecho, tengo incluso más motivos para hacer que mi habitación se vea bien. ¡Es mi mundo entero, después de todo!"
,I want my room to be like a one-stop hermit paradise with lots of entertainment and cute plushies and instant ramen...,"Quiero que mi habitación sea como un paraíso para ermitaños, con mucho entretenimiento, peluches bonitos y ramen instantáneo..."
,"Ooooh, I’m so excited!","Ooooh, ¡estoy tan emocionada!"
,Let’s get designing!,¡Vamos a diseñar!
,,
chapter01_end_story,,
,"Wow, my room looks so amazing now!","Wow, ¡mi habitación se ve increíble!"
,I can’t wait to-,No puedo esperar a-
,_,_
,"Huh! Oh no, Someones at the door!","¡Ah! Oh no, ¡hay alguien en la puerta!"
,What do I do?,¿Qué hago?
, _,_
,,
chapter02_start_story,,
,He he he...,Je je je...
,Um... so…,Em... bueno...
,"That was scary, I almost had to have a social interaction. <br>Who knows what could have happened.","Qué miedo, casi tuve que tener una interacción social. <br>Quién sabe lo que podría haber pasado."
,"You may think it’s weird for me to hide in here, but I became a hikikomori because my social anxiety makes it really hard to talk to people.","Tal vez pienses que es raro que me esconda aquí, pero me convertí en una hikikomori porque mi ansiedad social me imposibilita hablar con personas."
,"Sometimes it can become a real problem. But that’s okay, we can just design here in the closet, right?","A veces puede convertirse en un problema serio. Pero está bien, podemos simplemente diseñar aquí en el clóset, ¿cierto?"
,"This place is cool too, right?","Este lugar también es genial, ¿no?"
,Maybe I should just live in here from now on...,Quizás debería vivir aquí de ahora en adelante.
,,
chapter02_end_story,,
,Isn’t this new room so cozy?,¿No es muy cómoda esta nueva habitación?
,Though it’s getting a bit hard to breathe...,Aunque se está haciendo un poco difícil respirar aquí...
,Do you think the person at the door is gone? I’ll go check.,¿Crees que la persona en la puerta se haya ido? Iré a revisar.
,...,...
,"Phew, they’re gone. That was a close one.","Uf, se fue. Eso estuvo cerca."
,Turns out it was just the postman leaving the mail. What a relief.,Resulta que solo era el cartero. Qué alivio.
,There’s a letter from my parents! Let’s see what it says...,¡Hay una carta de mis padres! Veamos qué dice...
,...,...
,...,...
