,english,spanish
obj_furn_rock_1,,
,Rocks,Rocas
,"My furniture options are a bit limited now that I live in a cave, but I’ll make the most of it.","Mis opciones de amueblado son más limitadas ahora que vivo en una cueva, pero le sacaré el máximo provecho."
,,
obj_furn_rock_2,,
,Rocks,Rocas
,Designing with rocks is like a creative challenge. How exciting!,Decorar con rocas es como un desafío creativo. ¡Qué emocionante!
,,
obj_furn_rock_3,,
,Rocks,Rocas
,Having rock furniture is worth it if I don’t have to have social interactions anymore.,Amueblar con rocas vale la pena si eso significa que no volveré a tener interacciones sociales nunca más.
,,
obj_furn_rock_4,,
,Rocks,Rocas
,Buddha didn’t need material possessions and neither do I.,"Buda no necesitaba posesiones materiales, y yo tampoco."
,,
obj_furn_rock_5,,
,Rocks,Rocas
,Maybe I can paint these rocks pink.,Quizás pueda pintar esas rocas de rosa.
,,
obj_furn_rock_6,,
,Rocks,Rocas
,Just more rocks.,Más rocas.
,,
obj_furn_rock_7,,
,Rocks,Rocas
,"This rock is kinda cute, who needs normal furniture.","Esta roca es algo linda, ¿quién necesita muebles normales?"
,,
obj_furn_rock_8,,
,Rocks,Rocas
,"I’m gonna call this one rock-tan, te he!","¡A esta la llamaré roca-tan, je je!"
,,
obj_furn_rock_9,,
,Rocks,Rocas
,Maybe living in a cave was a mistake...,Quizás fue un error venir a vivir en una cueva...
,,
obj_furn_rock_10,,
,Rocks,Rocas
,What am I doing with my life.,Qué estoy haciendo con mi vida.
,,
obj_furn_snow_lump_1,,
,Snow Lump,Bulto de Nieve
,This is just the rocks all over again.,No es más que las rocas nuevamente.
,,
obj_furn_snow_lump_2,,
,Snow Lump,Bulto de Nieve
,At least these are softer than the rocks.,Al menos son más suaves que las rocas.
,,
obj_furn_snow_lump_3,,
,Snow Lump,Bulto de Nieve
,Snow can easily be formed into a chair.,Puedo moldear la nieve en forma de silla fácilmente.
,,
obj_furn_snow_lump_4,,
,Snow Lump,Bulto de Nieve
,I don’t have to stockpile water anymore now that I have so much snow!,¡No necesitaré volver reservar a agua ahora que tengo tanta nieve!
,,
obj_furn_snow_lump_5,,
